Height (cm)	MS
19200	0.000000152160
19205	0.000000150034
19210	0.000000147470
19215	0.000000156035
19220	0.000000151991
19225	0.000000140294
19230	0.000000152677
19235	0.000000153462
19240	0.000000162832
19245	0.000000149636
19250	0.000000157132
19255	0.000000163307
19260	0.000000152735
19265	0.000000151928
19270	0.000000162471
19275	0.000000163343
19280	0.000000142043
19285	0.000000159217
19290	0.000000158632
19295	0.000000164555
19300	0.000000147473
19305	0.000000144647
19310	0.000000153737
19315	0.000000153898
19320	0.000000149223
19325	0.000000146081
19330	0.000000151155
19335	0.000000147500
19340	0.000000142919
19345	0.000000152046
19350	0.000000150574
19355	0.000000156607
19360	0.000000151198
19365	0.000000145244
19370	0.000000142584
19375	0.000000152248
19380	0.000000154713
19385	0.000000151440
19390	0.000000145047
19395	0.000000142539
19400	0.000000164000
19405	0.000000154733
19410	0.000000134484
19415	0.000000155590
19420	0.000000145863
19425	0.000000150104
19430	0.000000153083
19435	0.000000136749
19440	0.000000144531
19443	0.000000145698
19450	0.000000140476
19455	0.000000154916
19460	0.000000138723
19465	0.000000137956
19470	0.000000149913
19475	0.000000140225
19480	0.000000157639
19485	0.000000135495
19490	0.000000138438
19495	0.000000134795
19500	0.000000125390
19505	0.000000135156
19510	0.000000141490
19515	0.000000136367
19520	0.000000127210
19525	0.000000119227
19530	0.000000131285
19535	0.000000129787
19540	0.000000129243
19545	0.000000118530
19550	0.000000137905
19555	0.000000117210
19560	0.000000136969
19565	0.000000148138
19570	0.000000136441
19575	0.000000134076
19580	0.000000172942
19585	0.000000140991
19590	0.000000144159
19600	0.000000135808
19605	0.000000135267
19610	0.000000146425
19615	0.000000138745
19620	0.000000158714
19625	0.000000131254
19630	0.000000153099
19635	0.000000138235
19640	0.000000135537
19645	0.000000143343
19650	0.000000137789
19655	0.000000148185
19660	0.000000087540
19665	0.000000169685
19670	0.000000144698
19675	0.000000135602
19680	0.000000146441
19685	0.000000138664
19690	0.000000151171
19695	0.000000144357
19700	0.000000114019
19705	0.000000135016
19710	0.000000139351
19715	0.000000131879
19720	0.000000150319
19725	0.000000143903
19730	0.000000143007
19735	0.000000152112
19740	0.000000149847
19745	0.000000137398
19750	0.000000147152
19755	0.000000143818
19760	0.000000153679
19765	0.000000133707
19770	0.000000137897
19775	0.000000148542
19780	0.000000154163
19785	0.000000144259
19790	0.000000150863
19800	0.000000143515
19805	0.000000132895
19810	0.000000137946
19815	0.000000155667
19820	0.000000141585
19825	0.000000141793
19830	0.000000141275
19835	0.000000143250
19840	0.000000140662
19840	0.000000152994
19845	0.000000095671
19850	0.000000106200
19855	0.000000123032
19860	0.000000127367
19865	0.000000129870
19870	0.000000124403
19875	0.000000117894
19880	0.000000126167
19885	0.000000113984
19890	0.000000115329
19895	0.000000120058
19897	0.000000150539
19900	0.000000050448
19905	0.000000098857
19910	0.000000110431
19915	0.000000124648
19917	0.000000090063
19925	0.000000105753
19930	0.000000134492
19935	0.000000110009
19940	0.000000098314
19945	0.000000104064
19950	0.000000110037
19955	0.000000083744
19960	0.000000073245
19965	0.000000097420
19970	0.000000102592
19975	0.000000112108
19980	0.000000073013
19985	0.000000095043
19990	0.000000048041
20000	0.000000058444
20005	0.000000053135
20010	0.000000091319
20015	0.000000080984
20020	0.000000071597
20025	0.000000073589
20030	0.000000078330
20035	0.000000057653
20040	0.000000128629
20045	0.000000092875
20050	0.000000130153
20055	0.000000114501
20060	0.000000122259
20065	0.000000111930
20070	0.000000118900
20075	0.000000112581
20080	0.000000106657
20085	0.000000119243
20090	0.000000118321
20095	0.000000118046
20100	0.000000126286
20105	0.000000152953
20110	0.000000075552
20115	0.000000108117
20120	0.000000095631
20125	0.000000138088
20130	0.000000115791
20135	0.000000125903
20140	0.000000131968
20145	0.000000131708
20150	0.000000121648
20160	0.000000118639
20165	0.000000132235
20170	0.000000136166
20175	0.000000129689
20180	0.000000126255
20185	0.000000119808
20190	0.000000156674
20195	0.000000137583
20200	0.000000150151
20205	0.000000115024
20210	0.000000137698
20215	0.000000137077
20220	0.000000144092
20225	0.000000113708
20230	0.000000086657
20240	0.000000110370
20245	0.000000102367
20250	0.000000126946
20255	0.000000109131
20260	0.000000123206
20270	0.000000139086
20280	0.000000136292
20290	0.000000142373
20300	0.000000139129
20310	0.000000145941
20320	0.000000156848
20330	0.000000184069
20340	0.000000144350
20350	0.000000154534
20360	0.000000158606
20370	0.000000149270
20380	0.000000145971
20390	0.000000141994
